Mean Acc,Std Acc,Mean AUC,Std AUC,Mean Sn,Std Sn,Mean Sp,Std Sp,Mean F1,Std F1,Mean Precision,Std Precision
0.638,0.044,0.641,0.042,0.598,0.1,0.685,0.096,0.633,0.06,0.687,0.058
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Seed,Acc,AUC,Sn,Sp,F1,Precision
1,0.7323943661971831,0.728358208955224,0.6567164179104478,0.8,0.6984126984126984,0.7457627118644068
2,0.6690140845070423,0.6772177419354839,0.6125,0.7419354838709677,0.6758620689655173,0.7538461538461538
3,0.676056338028169,0.676056338028169,0.5070422535211268,0.8450704225352113,0.6101694915254238,0.7659574468085106
4,0.7112676056338029,0.7131343283582089,0.746268656716418,0.68,0.7092198581560284,0.6756756756756757
5,0.676056338028169,0.676990271987294,0.6438356164383562,0.7101449275362319,0.6714285714285714,0.7014925373134329
6,0.6338028169014085,0.6339090728608299,0.6376811594202898,0.6301369863013698,0.6285714285714286,0.6197183098591549
7,0.6619718309859155,0.6632936507936508,0.5694444444444444,0.7571428571428571,0.6307692307692307,0.7068965517241379
8,0.5774647887323944,0.5804878048780487,0.5609756097560976,0.6,0.6052631578947368,0.6571428571428571
9,0.647887323943662,0.6711192066383324,0.5061728395061729,0.8360655737704918,0.6212121212121212,0.803921568627451
10,0.5704225352112676,0.5750248756218905,0.49333333333333335,0.6567164179104478,0.5481481481481482,0.6166666666666667
11,0.6267605633802817,0.6227860696517413,0.6933333333333334,0.5522388059701493,0.6624203821656051,0.6341463414634146
12,0.6549295774647887,0.661682615629984,0.5657894736842105,0.7575757575757576,0.6370370370370371,0.7288135593220338
13,0.6408450704225352,0.630600763512156,0.7215189873417721,0.5396825396825397,0.6909090909090909,0.6627906976744186
14,0.6338028169014085,0.634703196347032,0.6027397260273972,0.6666666666666666,0.6285714285714286,0.6567164179104478
15,0.5985915492957746,0.6060606060606062,0.5,0.7121212121212122,0.5714285714285714,0.6666666666666666
16,0.6971830985915493,0.6957472178060413,0.7297297297297297,0.6617647058823529,0.7152317880794702,0.7012987012987013
17,0.5845070422535211,0.59688995215311,0.42105263157894735,0.7727272727272727,0.5203252032520326,0.6808510638297872
18,0.6690140845070423,0.6659701492537313,0.72,0.6119402985074627,0.6967741935483871,0.675
19,0.6197183098591549,0.6198412698412699,0.6111111111111112,0.6285714285714286,0.6197183098591549,0.6285714285714286
20,0.6197183098591549,0.625801282051282,0.5641025641025641,0.6875,0.6197183098591549,0.6875
21,0.6056338028169014,0.612467738733373,0.3698630136986301,0.855072463768116,0.4909090909090909,0.7297297297297297
22,0.5563380281690141,0.5555555555555556,0.5,0.6111111111111112,0.5263157894736842,0.5555555555555556
23,0.6126760563380281,0.6084990958408679,0.6455696202531646,0.5714285714285714,0.6496815286624203,0.6538461538461539
24,0.5845070422535211,0.5840620031796503,0.5945945945945946,0.5735294117647058,0.5986394557823129,0.6027397260273972
25,0.704225352112676,0.7051587301587301,0.6388888888888888,0.7714285714285715,0.6865671641791045,0.7419354838709677
26,0.6056338028169014,0.6075924075924075,0.5844155844155844,0.6307692307692307,0.6164383561643836,0.6521739130434783
27,0.676056338028169,0.6689516129032258,0.725,0.6129032258064516,0.7160493827160493,0.7073170731707317
28,0.676056338028169,0.6606389391199518,0.7974683544303798,0.5238095238095238,0.7325581395348837,0.6774193548387096
29,0.6197183098591549,0.6260799678521197,0.569620253164557,0.6825396825396826,0.625,0.6923076923076923
30,0.6126760563380281,0.6553156146179402,0.45348837209302323,0.8571428571428571,0.5864661654135338,0.8297872340425532
